"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2023","3,197.58","3,201.18","3,215.81","3,189.61","","-0.12%"
"08/29/2023","3,201.50","3,190.86","3,218.98","3,190.86","","0.29%"
"08/28/2023","3,192.37","3,166.84","3,196.95","3,166.84","","1.37%"
"08/25/2023","3,149.17","3,139.01","3,159.08","3,127.38","","0.21%"
"08/24/2023","3,142.53","3,164.23","3,165.78","3,141.13","","-0.11%"
"08/23/2023","3,146.04","3,170.94","3,190.99","3,142.31","","-0.61%"
"08/22/2023","3,165.32","3,139.18","3,184.01","3,139.18","","1.34%"
"08/21/2023","3,123.55","3,059.97","3,149.34","3,059.97","","1.95%"
"08/18/2023","3,063.77","3,099.09","3,101.87","3,060.10","","-1.39%"
"08/17/2023","3,106.85","3,089.62","3,114.77","3,086.44","","0.34%"
"08/16/2023","3,096.25","3,079.68","3,112.38","3,059.20","","0.24%"
"08/14/2023","3,088.97","3,090.21","3,109.18","3,052.68","","-0.64%"
"08/11/2023","3,109.01","3,174.37","3,176.27","3,095.17","","-2.07%"
"08/10/2023","3,174.73","3,185.66","3,190.38","3,159.39","","-0.31%"
"08/09/2023","3,184.70","3,184.58","3,198.55","3,177.16","","0.38%"
"08/08/2023","3,172.80","3,186.80","3,195.71","3,172.62","","-0.65%"
"08/07/2023","3,193.67","3,204.05","3,213.53","3,184.37","","-0.07%"
"08/04/2023","3,195.97","3,193.23","3,208.32","3,193.19","","0.41%"
"08/03/2023","3,182.91","3,159.82","3,189.80","3,139.02","","0.69%"
"08/02/2023","3,161.14","3,165.91","3,169.93","3,102.19","","-1.35%"
"08/01/2023","3,204.37","3,249.55","3,257.52","3,190.29","","-0.91%"
"07/31/2023","3,233.86","3,240.88","3,264.59","3,233.86","","0.05%"
"07/28/2023","3,232.38","3,262.83","3,264.48","3,214.63","","-0.93%"
"07/27/2023","3,262.77","3,258.65","3,280.71","3,258.51","","0.03%"
"07/26/2023","3,261.69","3,269.33","3,271.42","3,246.02","","-0.02%"
"07/25/2023","3,262.29","3,253.86","3,273.43","3,249.00","","0.59%"
"07/24/2023","3,243.01","3,244.33","3,259.05","3,232.33","","-0.15%"
"07/21/2023","3,247.99","3,254.16","3,265.54","3,243.85","","-0.12%"
"07/20/2023","3,251.94","3,236.35","3,256.91","3,230.56","","0.57%"
"07/19/2023","3,233.45","3,207.00","3,245.38","3,206.81","","1.28%"
"07/18/2023","3,192.49","3,157.03","3,205.44","3,157.03","","1.10%"
"07/17/2023","3,157.74","3,213.71","3,213.71","3,150.38","","-1.71%"
"07/14/2023","3,212.57","3,210.11","3,217.86","3,195.01","","0.41%"
"07/13/2023","3,199.47","3,219.02","3,220.37","3,190.32","","-0.26%"
"07/12/2023","3,207.79","3,202.44","3,218.27","3,175.96","","0.60%"
"07/11/2023","3,188.56","3,121.72","3,200.29","3,121.72","","2.45%"
"07/10/2023","3,112.23","3,087.92","3,123.16","3,079.64","","1.04%"
"07/07/2023","3,080.06","3,087.51","3,100.67","3,065.71","","-0.11%"
"07/06/2023","3,083.54","3,106.44","3,109.94","3,067.23","","-1.35%"
"07/05/2023","3,125.77","3,127.73","3,135.91","3,105.29","","-0.53%"
"07/04/2023","3,142.35","3,138.47","3,148.66","3,121.05","","0.20%"
"07/03/2023","3,135.94","3,126.21","3,137.44","3,112.30","","1.20%"
"06/30/2023","3,098.66","3,119.24","3,128.57","3,089.60","","0.06%"
"06/29/2023","3,096.70","3,035.03","3,105.57","3,034.42","","2.66%"
"06/28/2023","3,016.56","2,991.50","3,022.33","2,991.50","","1.21%"
"06/27/2023","2,980.46","2,982.27","3,005.10","2,960.48","","0.02%"
"06/26/2023","2,979.96","3,065.94","3,065.94","2,964.01","","-2.70%"
"06/23/2023","3,062.60","3,052.19","3,079.99","3,052.19","","0.37%"
